summary,journey_id,duration_in_days
ISS crew rotation.,f9a3dc00-1d8d-11d9-8080-808080808080,10
Missing Summary,26116400-5294-11b8-8080-808080808080,9
First South African in space (Shuttleworth). Second space tourist (Shuttleworth).,4f2e4c00-5815-11d6-8080-808080808080,10
Repair of crippled Salyut 7 station.,8a5be000-6a0a-11c3-8080-808080808080,112
Deploy satellites,1fc7bc00-a3de-11f6-8080-808080808080,113
Test new spacecraft model,331d3080-a200-11f6-8080-808080808080,31
Deploy new internet beacons,bdb92200-9fab-11f6-8080-808080808080,236
Tourist flight,96425680-9ed2-11f6-8080-808080808080,53
Push the boundaries of human exploration,e7c83000-8c09-11f6-8080-808080808080,170
Test new spacecraft model,fa511980-892a-11f6-8080-808080808080,229
Tourist flight,5199b000-887f-11f6-8080-808080808080,323
Crew rotation,6a489c80-8864-11f6-8080-808080808080,24
Crew rotation,e52b7f00-86cd-11f6-8080-808080808080,2
Deploy satellites,dd537280-81d5-11f6-8080-808080808080,138
Testbed mission for the Chinese to gain experience from an extended stay on a space laboratory and test its life-support systems.,7b24c000-9333-11e6-8080-808080808080,33
"Second U.S. Department of Defense mission. Classified payload, believed to be two communications satellites.",09ed9600-c7d6-11c3-8080-808080808080,4
Spent almost three months in space. Miscellaneous scientific experiments conducted.,fe867600-7630-11b6-8080-808080808080,84
Go to edge of solar system,53cb7a00-b8da-11ef-8080-808080808080,12
Land on Mars,9b930600-a5a7-11ef-8080-808080808080,31
Bring supplies to space center,5b822100-9921-11ef-8080-808080808080,154
Land on Mars,313b6700-8f10-11ef-8080-808080808080,161
Test new spacecraft model,0f73f500-7198-11ef-8080-808080808080,281
Bring passengers to the moon,543e5400-70e4-11ef-8080-808080808080,211
Land on Mars,10227580-5c44-11ef-8080-808080808080,29
Crew rotation,0ea51780-5816-11ef-8080-808080808080,175
Land on Mars,a6c23d80-466a-11ef-8080-808080808080,186
Bring supplies to space center,b91df500-4034-11ef-8080-808080808080,98
Radar topographic mapping of Earths surface.,ae776a00-e0aa-11d3-8080-808080808080,11
Test new spacecraft model,56850700-18b2-11f1-8080-808080808080,260
Push the boundaries of human exploration,f2c17380-12de-11f1-8080-808080808080,45
Crew rotation,0c9d5500-1058-11f1-8080-808080808080,141
